Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
16730,6,60777.6,7/23/2001,6/1/2024,8349
16730,6,62816,3/14/2002,6/1/2024,8115
12420,3,39998.4,10/11/2004,6/1/2024,7173
12430,4,45240,6/24/2013,6/1/2024,3995
16710,3,43264,9/8/2015,6/1/2024,3189
11760,4,41100.8,10/1/2015,6/1/2024,3166
11700,3,38937.6,1/9/2017,6/1/2024,2700
12420,3,39811.2,3/13/2017,6/1/2024,2637
11710,2,38563.2,7/31/2017,6/1/2024,2497
11710,2,38563.2,7/16/2018,6/1/2024,2147
11700,3,38937.6,9/30/2018,6/1/2024,2071
11710,2,38937.6,10/8/2018,6/1/2024,2063
11760,4,42848,1/14/2019,6/1/2024,1965
11580,2,38937.6,2/4/2019,6/1/2024,1944
11710,2,37814.4,7/22/2019,6/1/2024,1776
11700,3,38937.6,12/16/2019,6/1/2024,1629
11710,2,38750.4,9/3/2020,6/1/2024,1367
12420,3,38937.6,9/29/2020,6/1/2024,1341
12030,2,33529.6,1/24/2021,6/1/2024,1224
16710,3,52000,5/3/2021,6/1/2024,1125
11710,2,38937.6,11/14/2021,6/1/2024,930
12210,3,38937.6,12/20/2021,6/1/2024,894
11580,2,38937.6,12/19/2021,6/1/2024,895
11700,3,38937.6,3/16/2022,6/1/2024,808
11710,2,38750.4,9/20/2022,6/1/2024,620
11700,3,38937.6,10/9/2022,6/1/2024,601
16710,3,45427.2,10/24/2022,6/1/2024,586
12100,4,43264,10/16/2022,6/1/2024,594
11580,2,38937.6,10/16/2022,6/1/2024,594
12020,2,33529.6,5/1/2023,6/1/2024,397
11580,2,38937.6,5/8/2023,6/1/2024,390
11710,2,38937.6,5/8/2023,6/1/2024,390
11700,3,38750.4,5/8/2023,6/1/2024,390
11700,3,38750.4,5/8/2023,6/1/2024,390
11710,2,38188.8,5/8/2023,6/1/2024,390
12020,2,33529.6,8/27/2023,6/1/2024,279
11710,2,38563.2,10/12/2023,6/1/2024,233
12420,3,38937.6,11/7/2023,6/1/2024,207
11710,2,38937.6,12/5/2023,6/1/2024,179
11690,2,37440,1/8/2024,6/1/2024,145
12210,3,39520,1/22/2024,6/1/2024,131
11710,2,37440,2/5/2024,6/1/2024,117
12020,2,32240,2/12/2024,6/1/2024,110
11700,3,37440,2/19/2024,6/1/2024,103
11710,2,37440,2/19/2024,6/1/2024,103
11710,2,37440,3/17/2024,6/1/2024,76
12170,1,33280,3/19/2024,6/1/2024,74
12560,8,93912.49,6/3/1997,6/1/2024,9860
11050,7,75000,10/22/2012,6/1/2024,4240
11050,7,85000,10/8/2013,6/1/2024,3889
10031,6,60000,5/5/2014,6/1/2024,3680
11090,6,64896,8/5/2014,6/1/2024,3588
11000,9,115000,9/30/2014,6/1/2024,3532
11100,6,57200,8/7/2017,6/1/2024,2490
11100,6,55972.8,10/8/2018,6/1/2024,2063
13900,9,92000,2/11/2019,6/1/2024,1937
11110,6,52250,1/24/2021,6/1/2024,1224
11070,6,55972.8,8/30/2021,6/1/2024,1006
11100,6,60569.6,5/16/2022,6/1/2024,747
Retail - e,Utility (Union),52270.4,8/21/2008,6/1/2024,5763
Retail - b,Checker (Union),50356.8,8/20/2008,6/1/2024,5764
Retail - e,Utility (Union),53830.4,10/27/2013,6/1/2024,3870
12100,4,54288,1/15/2012,6/1/2024,4521
Retail - d,Case Selector (Union),50356.8,5/6/2012,6/1/2024,4409
Retail - b,Checker (Union),48464,9/9/2012,6/1/2024,4283
Retail - g,QA Representative (Union),48380.8,8/3/2014,6/1/2024,3590
Retail - e,Utility (Union),52270.4,10/14/2012,6/1/2024,4248
Retail - b,Checker (Union),50024,8/3/2014,6/1/2024,3590
Retail - e,Utility (Union),51750.4,3/1/2015,6/1/2024,3380
Retail - b,Checker (Union),47944,1/15/2017,6/1/2024,2694
Retail - b,Checker (Union),50024,1/15/2017,6/1/2024,2694
11760,4,54870.4,1/22/2017,6/1/2024,2687
12060,3,49774.4,2/19/2017,6/1/2024,2659
16730,6,63440,3/3/2017,6/1/2024,2647
Retail - g,QA Representative (Union),46300.8,5/21/2017,6/1/2024,2568
12020,2,49774.4,1/14/2018,6/1/2024,2330
Retail - e,Utility (Union),53830.4,4/8/2018,6/1/2024,2246
12060,3,49774.4,12/30/2018,6/1/2024,1980
Retail - e,Utility (Union),51750.4,2/24/2019,6/1/2024,1924
Retail - b,Checker (Union),46904,6/23/2019,6/1/2024,1805
Retail - b,Checker (Union),48984,6/30/2019,6/1/2024,1798
12060,3,50918.4,4/12/2020,6/1/2024,1511
Retail - f,Lead (Union),55910.4,6/28/2020,6/1/2024,1434
Retail - f,Lead (Union),55910.4,10/18/2020,6/1/2024,1322
11710,2,46904,7/12/2021,6/1/2024,1055
Retail - e,Utility (Union),52790.4,2/1/2022,6/1/2024,851
16710,3,52748.8,2/25/2022,6/1/2024,827
12020,2,50918.4,6/3/2022,6/1/2024,729
11700,3,50710.4,6/21/2022,6/1/2024,711
Retail - e,Utility (Union),52790.4,7/8/2022,6/1/2024,694
Retail - e,Utility (Union),50856,7/21/2022,6/1/2024,681
Retail - e,Utility (Union),52790.4,8/5/2022,6/1/2024,666
Retail - e,Utility (Union),52790.4,3/29/2023,6/1/2024,430
Retail - e,Utility (Union),52790.4,3/23/2023,6/1/2024,436
Retail - b,Checker (Union),48984,10/13/2023,6/1/2024,232
Retail - b,Checker (Union),48984,12/14/2023,6/1/2024,170
11700,3,52790.4,1/5/2024,6/1/2024,148
11120,7,72996,10/18/2004,6/1/2024,7166
11090,6,66201.45,5/1/2011,6/1/2024,4780
11010,8,118435.2,5/8/2011,6/1/2024,4773
10031,6,59613.46,3/4/2012,6/1/2024,4472
11050,7,74737.37,5/6/2012,6/1/2024,4409
11100,6,60320,5/3/2015,6/1/2024,3317
11060,7,61386.75,7/8/2018,6/1/2024,2155
11100,6,62192,6/28/2020,6/1/2024,1434
11810,4,49545.6,8/6/2008,6/1/2024,5778
11700,3,51875.2,4/4/2011,6/1/2024,4807
11700,3,45156.8,12/4/2017,6/1/2024,2371
16730,6,62732.8,1/3/2012,6/1/2024,4533
16730,6,77126.4,12/30/2001,6/1/2024,8189
11780,3,55452.8,5/20/2002,6/1/2024,8048
11700,3,62920,5/24/2002,6/1/2024,8044
11780,3,57241.6,8/6/2002,6/1/2024,7970
